dictionary,hiragana,meaning,type,transitivity,negative,polite,conditional,volitional,te,past,negativePast,passive,causative,potential,imperative
散らす,ちらす,"to scatter, to disperse",godan,i,散らさない,散らします,散らせば,散らそう,散らして,散らした,散らさなかった,散らされる,散らさせる,散らせる,散らせ
散る,ちる,"to scatter, to disperse",godan,i,散らない,散ります,散れば,散ろう,散って,散った,散らなかった,散られる,散らせる,散れる,散れ
抱く,だく,"to embrace, to hold, to hug",godan,i,抱かない,抱きます,抱けば,抱こう,抱いて,抱いた,抱かなかった,抱かれる,抱かせる,抱ける,抱け
だます,だます,"to deceive, to cheat",godan,i,だまさない,だまします,だませば,だまそう,だまして,だました,だまさなかった,だまされる,だまさせる,だませる,だませ
出す,だす,"to put out, to send, to submit",godan,t,出さない,出します,出せば,出そう,出して,出した,出さなかった,出される,出させる,出せる,出せ
どなる,どなる,to shout,godan,i,どならない,どなります,どなれば,どなろう,どなって,どなった,どならなかった,どなられる,どならせる,どなれる,どなれ
選ぶ,えらぶ,to choose,godan,t,選ばない,選びます,選べば,選ぼう,選んで,選んだ,選ばなかった,選ばれる,選ばせる,選べる,選べ
拭く,ふく,to wipe,godan,t,拭かない,拭きます,拭けば,拭こう,拭いて,拭いた,拭かなかった,拭かれる,拭かせる,拭ける,拭け
吹く,ふく,"to blow, to play (wind instruments)",godan,"i,t",吹かない,吹きます,吹けば,吹こう,吹いて,吹いた,吹かなかった,吹かれる,吹かせる,吹ける,吹け
含む,ふくむ,"to contain, to include",godan,t,含まない,含みます,含めば,含もう,含んで,含んだ,含まなかった,含まれる,含ませる,含める,含め
膨らむ,ふくらむ,"to swell, to expand",godan,i,膨らまない,膨らみます,膨らめば,膨らもう,膨らんで,膨らんだ,膨らまなかった,膨らまれる,膨らませる,膨らめる,膨らめ
踏む,ふむ,to step on,godan,t,踏まない,踏みます,踏めば,踏もう,踏んで,踏んだ,踏まなかった,踏まれる,踏ませる,踏める,踏め
降る,ふる,"to rain, to snow",godan,i,降らない,降ります,降れば,降ろう,降って,降った,降らなかった,降られる,降らせる,降れる,降れ
振る,ふる,to wave,godan,i,振らない,振ります,振れば,振ろう,振って,振った,振らなかった,振られる,振らせる,振れる,振れ
ふさぐ,ふさぐ,to block up,godan,t,ふさがない,ふさぎます,ふさげば,ふさごう,ふさいで,ふさいだ,ふさがなかった,ふさがれる,ふさがせる,ふさげる,ふさげ
太る,ふとる,"to gain weight, to get fat",godan,i,太らない,太ります,太れば,太ろう,太って,太った,太らなかった,太られる,太らせる,太れる,太れ
増やす,ふやす,to increase,godan,t,増やさない,増やします,増やせば,増やそう,増やして,増やした,増やさなかった,増やされる,増やさせる,増やせる,増やせ
頑張る,がんばる,"to persist, to hold on",godan,i,頑張らない,頑張ります,頑張れば,頑張ろう,頑張って,頑張った,頑張らなかった,頑張られる,頑張らせる,頑張れる,頑張れ
省く,はぶく,to omit,godan,t,省かない,省きます,省けば,省こう,省いて,省いた,省かなかった,省かれる,省かせる,省ける,省け
はがす,はがす,"to strip off, to tear off",godan,t,はがさない,はがします,はがせば,はがそう,はがして,はがした,はがさなかった,はがされる,はがさせる,はがせる,はがせ
励ます,はげます,to encourage,godan,t,励まさない,励まします,励ませば,励まそう,励まして,励ました,励まさなかった,励まされる,励まさせる,励ませる,励ませ
励む,はげむ,"to make efforts, to strive",godan,t,励まない,励みます,励めば,励もう,励んで,励んだ,励まなかった,励まれる,励ませる,励める,励め
省く,はぶく,to omit,godan,t,省かない,省きます,省けば,省こう,省いて,省いた,省かなかった,省かれる,省かせる,省ける,省け
はがす,はがす,"to strip off, to tear off",godan,t,はがさない,はがします,はがせば,はがそう,はがして,はがした,はがさなかった,はがされる,はがさせる,はがせる,はがせ
励ます,はげます,to encourage,godan,t,励まさない,励まします,励ませば,励まそう,励まして,励ました,励まさなかった,励まされる,励まさせる,励ませる,励ませ
励む,はげむ,"to make efforts, to strive",godan,i,励まない,励みます,励めば,励もう,励んで,励んだ,励まなかった,励まれる,励ませる,励める,励め
入る,はいる,to enter,godan,i,入らない,入ります,入れば,入ろう,入って,入った,入らなかった,入られる,入らせる,入れる,入れ
始まる,はじまる,"to begin, to start",godan,i,始まらない,始まります,始まれば,始まろう,始まって,始まった,始まらなかった,始まられる,始まらせる,始まれる,始まれ
計る,はかる,"to measure, to weigh",godan,t,計らない,計ります,計れば,計ろう,計って,計った,計らなかった,計られる,計らせる,計れる,計れ
運ぶ,はこぶ,"to carry, to transport",godan,t,運ばない,運びます,運べば,運ぼう,運んで,運んだ,運ばなかった,運ばれる,運ばせる,運べる,運べ
履く,はく,to wear (shoes),godan,t,履かない,履きます,履けば,履こう,履いて,履いた,履かなかった,履かれる,履かせる,履ける,履け
吐く,はく,to vomit,godan,t,吐かない,吐きます,吐けば,吐こう,吐いて,吐いた,吐かなかった,吐かれる,吐かせる,吐ける,吐け
掃く,はく,to sweep,godan,t,掃かない,掃きます,掃けば,掃こう,掃いて,掃いた,掃かなかった,掃かれる,掃かせる,掃ける,掃け
はみ出す,はみだす,to stick out,godan,i,はみ出さない,はみ出します,はみ出せば,はみ出そう,はみ出して,はみ出した,はみ出さなかった,はみ出される,はみ出させる,はみ出せる,はみ出せ
話す,はなす,to speak,godan,t,話さない,話します,話せば,話そう,話して,話した,話さなかった,話される,話させる,話せる,話せ
離す,はなす,"to detach, to separate",godan,i,離さない,離します,離せば,離そう,離して,離した,離さなかった,離される,離させる,離せる,離せ
放す,はなす,"to set free, to release",godan,t,放さない,放します,放せば,放そう,放して,放した,放さなかった,放される,放させる,放せる,放せ
払う,はらう,to pay,godan,t,払わない,払います,払えば,払おう,払って,払った,払わなかった,払われる,払わせる,払える,払え
張る,はる,"to paste, to stick, to stretch",godan,t,張らない,張ります,張れば,張ろう,張って,張った,張らなかった,張られる,張らせる,張れる,張れ
走る,はしる,to run,godan,i,走らない,走ります,走れば,走ろう,走って,走った,走らなかった,走られる,走らせる,走れる,走れ
はたく,はたく,"to beat, to slap, to dust",godan,t,はたかない,はたきます,はたけば,はたこう,はたいて,はたいた,はたかなかった,はたかれる,はたかせる,はたける,はたけ
働く,はたらく,to work,godan,i,働かない,働きます,働けば,働こう,働いて,働いた,働かなかった,働かれる,働かせる,働ける,働け
はやる,はやる,"to be popular, to prevail",godan,i,はやらない,はやります,はやれば,はやろう,はやって,はやった,はやらなかった,はやられる,はやらせる,はやれる,はやれ
生やす,はやす,to grow (mustache),godan,t,生やさない,生やします,生やせば,生やそう,生やして,生やした,生やさなかった,生やされる,生やさせる,生やせる,生やせ
弾む,はずむ,"to spring, to bounce",godan,i,弾まない,弾みます,弾めば,弾もう,弾んで,弾んだ,弾まなかった,弾まれる,弾ませる,弾める,弾め
外す,はずす,"to take off, to remove",godan,t,外さない,外します,外せば,外そう,外して,外した,外さなかった,外される,外させる,外せる,外せ
へこむ,へこむ,to be dented,godan,i,へこまない,へこみます,へこめば,へこもう,へこんで,へこんだ,へこまなかった,へこまれる,へこませる,へこめる,へこめ
減らす,へらす,to decrease,godan,t,減らさない,減らします,減らせば,減らそう,減らして,減らした,減らさなかった,減らされる,減らさせる,減らせる,減らせ
減る,へる,to decrease,godan,i,減らない,減ります,減れば,減ろう,減って,減った,減らなかった,減られる,減らせる,減れる,減れ
光る,ひかる,to shine,godan,i,光らない,光ります,光れば,光ろう,光って,光った,光らなかった,光られる,光らせる,光れる,光れ
引きずる,ひきずる,"to drag, to trail",godan,t,引きずらない,引きずります,引きずれば,引きずろう,引きずって,引きずった,引きずらなかった,引きずられる,引きずらせる,引きずれる,引きずれ
引っ込む,ひっこむ,to draw back,godan,i,引っ込まない,引っ込みます,引っ込めば,引っ込もう,引っ込んで,引っ込んだ,引っ込まなかった,引っ込まれる,引っ込ませる,引っ込める,引っ込め
引っ越す,ひっこす,to move to,godan,i,引っ越さない,引っ越します,引っ越せば,引っ越そう,引っ越して,引っ越した,引っ越さなかった,引っ越される,引っ越させる,引っ越せる,引っ越せ
ひっくり返す,ひっくりかえす,"to turn over, to upset",godan,t,ひっくり返さない,ひっくり返します,ひっくり返せば,ひっくり返そう,ひっくり返して,ひっくり返した,ひっくり返さなかった,ひっくり返される,ひっくり返させる,ひっくり返せる,ひっくり返せ
引く,ひく,to pull,godan,t,引かない,引きます,引けば,引こう,引いて,引いた,引かなかった,引かれる,引かせる,引ける,引け
弾く,ひく,to play,godan,"i,t",弾かない,弾きます,弾けば,弾こう,弾いて,弾いた,弾かなかった,弾かれる,弾かせる,弾ける,弾け
ひねる,ひねる,"to twist, to wrench",godan,t,ひねらない,ひねります,ひねれば,ひねろう,ひねって,ひねった,ひねらなかった,ひねられる,ひねらせる,ひねれる,ひねれ
引っ張る,ひっぱる,"to pull, to draw",godan,i,引っ張らない,引っ張ります,引っ張れば,引っ張ろう,引っ張って,引っ張った,引っ張らなかった,引っ張られる,引っ張らせる,引っ張れる,引っ張れ
開く,ひらく,"to open, to unfold",godan,"i,t",開かない,開きます,開けば,開こう,開いて,開いた,開かなかった,開かれる,開かせる,開ける,開け
広がる,ひろがる,"to extend, to spread",godan,i,広がらない,広がります,広がれば,広がろう,広がって,広がった,広がらなかった,広がられる,広がらせる,広がれる,広がれ
拾う,ひろう,to pick up,godan,t,拾わない,拾います,拾えば,拾おう,拾って,拾った,拾わなかった,拾われる,拾わせる,拾える,拾え
潜む,ひそむ,to lurk,godan,i,潜まない,潜みます,潜めば,潜もう,潜んで,潜んだ,潜まなかった,潜まれる,潜ませる,潜める,潜め
冷やかす,ひやかす,to tease,godan,t,冷やかさない,冷やかします,冷やかせば,冷やかそう,冷やかして,冷やかした,冷やかさなかった,冷やかされる,冷やかさせる,冷やかせる,冷やかせ
冷やす,ひやす,"to cool, to ice",godan,t,冷やさない,冷やします,冷やせば,冷やそう,冷やして,冷やした,冷やさなかった,冷やされる,冷やさせる,冷やせる,冷やせ
ほどく,ほどく,to untie,godan,t,ほどかない,ほどきます,ほどけば,ほどこう,ほどいて,ほどいた,ほどかなかった,ほどかれる,ほどかせる,ほどける,ほどけ
誇る,ほこる,"to boast, to be pround of",godan,"i,t",誇らない,誇ります,誇れば,誇ろう,誇って,誇った,誇らなかった,誇られる,誇らせる,誇れる,誇れ
掘る,ほる,to dig,godan,t,掘らない,掘ります,掘れば,掘ろう,掘って,掘った,掘らなかった,掘られる,掘らせる,掘れる,掘れ
彫る,ほる,"to carve, to engrave",godan,t,彫らない,彫ります,彫れば,彫ろう,彫って,彫った,彫らなかった,彫られる,彫らせる,彫れる,彫れ
挑む,いどむ,to challenge,godan,"i,t",挑まない,挑みます,挑めば,挑もう,挑んで,挑んだ,挑まなかった,挑まれる,挑ませる,挑める,挑め
いじる,いじる,"to fumble, to tamper",godan,t,いじらない,いじります,いじれば,いじろう,いじって,いじった,いじらなかった,いじられる,いじらせる,いじれる,いじれ
意気込む,いきごむ,to be eager,godan,i,意気込まない,意気込みます,意気込めば,意気込もう,意気込んで,意気込んだ,意気込まなかった,意気込まれる,意気込ませる,意気込める,意気込め
行く,いく,to go,godan,i,行かない,行きます,行けば,行こう,行いて,行った,行かなかった,行かれる,行かせる,行ける,行け
祈る,いのる,to pray,godan,t,祈らない,祈ります,祈れば,祈ろう,祈って,祈った,祈らなかった,祈られる,祈らせる,祈れる,祈れ
苛立つ,いらだつ,to be irritated,godan,i,苛立たない,苛立ちます,苛立てば,苛立とう,苛立って,苛立った,苛立たなかった,苛立たれる,苛立たせる,苛立てる,苛立て
いらっしゃる,いらっしゃる,"to be, to go, to come",godan,i,いらっしゃらない,いらっしゃります,いらっしゃれば,いらっしゃろう,いらっしゃって,いらっしゃった,いらっしゃらなかった,いらっしゃられる,いらっしゃらせる,いらっしゃれる,いらっしゃい
要る,いる,to need,godan,i,要らない,要ります,要れば,要ろう,要って,要った,要らなかった,要られる,要らせる,要れる,要れ
急ぐ,いそぐ,to hurry,godan,i,急がない,急ぎます,急げば,急ごう,急いで,急いだ,急がなかった,急がれる,急がせる,急げる,急げ
頂く,いただく,"to receive, to eat, to drink",godan,i,頂かない,頂きます,頂けば,頂こう,頂いて,頂いた,頂かなかった,頂かれる,頂かせる,頂ける,頂け
痛む,いたむ,"to hurt, to feel a pain",godan,i,痛まない,痛みます,痛めば,痛もう,痛んで,痛んだ,痛まなかった,痛まれる,痛ませる,痛める,痛め
至る,いたる,"to arrive, to reach",godan,i,至らない,至ります,至れば,至ろう,至って,至った,至らなかった,至られる,至らせる,至れる,至れ
致す,いたす,to do,godan,t,致さない,致します,致せば,致そう,致して,致した,致さなかった,致される,致させる,致せる,致せ
労わる,いたわる,to console,godan,t,労わらない,労わります,労われば,労わろう,労わって,労わった,労わらなかった,労わられる,労わらせる,労われる,労われ
営む,いとなむ,"to perform, to run a business",godan,i,営まない,営みます,営めば,営もう,営んで,営んだ,営まなかった,営まれる,営ませる,営める,営め
偽る,いつわる,"to lie, to falsify",godan,t,偽らない,偽ります,偽れば,偽ろう,偽って,偽った,偽らなかった,偽られる,偽らせる,偽れる,偽れ
言う,いう,"to say, to tell",godan,t,言わない,言います,言えば,言おう,言って,言った,言わなかった,言われる,言わせる,言える,言え
祝う,いわう,"to congratulate, to celebrate",godan,t,祝わない,祝います,祝えば,祝おう,祝って,祝った,祝わなかった,祝われる,祝わせる,祝える,祝え
焦らす,じらす,"to irritate, to tease",godan,t,焦らさない,焦らします,焦らせば,焦らそう,焦らして,焦らした,焦らさなかった,焦らされる,焦らさせる,焦らせる,焦らせ
被る,かぶる,to wear (a hat),godan,t,被らない,被ります,被れば,被ろう,被って,被った,被らなかった,被られる,被らせる,被れる,被れ
帰る,かえる,to return,godan,i,帰らない,帰ります,帰れば,帰ろう,帰って,帰った,帰らなかった,帰られる,帰らせる,帰れる,帰れ
返す,かえす,"to return, to give back",godan,t,返さない,返します,返せば,返そう,返して,返した,返さなかった,返される,返させる,返せる,返せ
屈む,かがむ,to stoop,godan,i,屈まない,屈みます,屈めば,屈もう,屈んで,屈んだ,屈まなかった,屈まれる,屈ませる,屈める,屈め
齧る,かじる,"to bite, to gnaw",godan,t,齧らない,齧ります,齧れば,齧ろう,齧って,齧った,齧らなかった,齧られる,齧らせる,齧れる,齧れ
掛かる,かかる,"to hang, to cost, to take time",godan,i,掛からない,掛かります,掛かれば,掛かろう,掛かって,掛かった,掛からなかった,掛かられる,掛からせる,掛かれる,掛かれ
掻き回す,かきまわす,"to churn, to stir up",godan,t,掻き回さない,掻き回します,掻き回せば,掻き回そう,掻き回して,掻き回した,掻き回さなかった,掻き回される,掻き回させる,掻き回せる,掻き回せ
書く,かく,to write,godan,t,書かない,書きます,書けば,書こう,書いて,書いた,書かなかった,書かれる,書かせる,書ける,書け
隠す,かくす,"to hide, to conceal",godan,t,隠さない,隠します,隠せば,隠そう,隠して,隠した,隠さなかった,隠される,隠させる,隠せる,隠せ
噛む,かむ,to bite,godan,i,噛まない,噛みます,噛めば,噛もう,噛んで,噛んだ,噛まなかった,噛まれる,噛ませる,噛める,噛め
悲しむ,かなしむ,"to mourn, to feel sad",godan,t,悲しまない,悲しみます,悲しめば,悲しもう,悲しんで,悲しんだ,悲しまなかった,悲しまれる,悲しませる,悲しめる,悲しめ
絡む,からむ,"to entwine, to twine around",godan,i,絡まない,絡みます,絡めば,絡もう,絡んで,絡んだ,絡まなかった,絡まれる,絡ませる,絡める,絡め
刈る,かる,"to mow, to cut, to trim",godan,t,刈らない,刈ります,刈れば,刈ろう,刈って,刈った,刈らなかった,刈られる,刈らせる,刈れる,刈れ
貸す,かす,"to lend, to rent",godan,t,貸さない,貸します,貸せば,貸そう,貸して,貸した,貸さなかった,貸される,貸させる,貸せる,貸せ
傾く,かたむく,"to slope, to lean",godan,i,傾かない,傾きます,傾けば,傾こう,傾いて,傾いた,傾かなかった,傾かれる,傾かせる,傾ける,傾け
勝つ,かつ,to win,godan,i,勝たない,勝ちます,勝てば,勝とう,勝って,勝った,勝たなかった,勝たれる,勝たせる,勝てる,勝て
買う,かう,to buy,godan,t,買わない,買います,買えば,買おう,買って,買った,買わなかった,買われる,買わせる,買える,買え
飼う,かう,to keep pets,godan,t,飼わない,飼います,飼えば,飼おう,飼って,飼った,飼わなかった,飼われる,飼わせる,飼える,飼え
乾かす,かわかす,to dry,godan,t,乾かさない,乾かします,乾かせば,乾かそう,乾かして,乾かした,乾かさなかった,乾かされる,乾かさせる,乾かせる,乾かせ
乾く,かわく,to get dry,godan,i,乾かない,乾きます,乾けば,乾こう,乾いて,乾いた,乾かなかった,乾かれる,乾かせる,乾ける,乾け
渇く,かわく,"to be thirsty, to get thirsty",godan,i,渇かない,渇きます,渇けば,渇こう,渇いて,渇いた,渇かなかった,渇かれる,渇かせる,渇ける,渇け
変わる,かわる,to change,godan,i,変わらない,変わります,変われば,変わろう,変わって,変わった,変わらなかった,変わられる,変わらせる,変われる,変われ
代わる,かわる,to replace,godan,t,代わらない,代わります,代われば,代わろう,代わって,代わった,代わらなかった,代わられる,代わらせる,代われる,代われ
通う,かよう,to commute,godan,i,通わない,通います,通えば,通おう,通って,通った,通わなかった,通われる,通わせる,通える,通え
飾る,かざる,to decorate,godan,t,飾らない,飾ります,飾れば,飾ろう,飾って,飾った,飾らなかった,飾られる,飾らせる,飾れる,飾れ
消す,けす,"to turn off, to erase",godan,t,消さない,消します,消せば,消そう,消して,消した,消さなかった,消される,消させる,消せる,消せ
削る,けずる,to sharpen,godan,t,削らない,削ります,削れば,削ろう,削って,削った,削らなかった,削られる,削らせる,削れる,削れ
聞く,きく,"to hear, to listen, to ask",godan,t,聞かない,聞きます,聞けば,聞こう,聞いて,聞いた,聞かなかった,聞かれる,聞かせる,聞ける,聞け
効く,きく,to be effective,godan,i,効かない,効きます,効けば,効こう,効いて,効いた,効かなかった,効かれる,効かせる,効ける,効け
決まる,きまる,to be decided,godan,i,決まらない,決まります,決まれば,決まろう,決まって,決まった,決まらなかった,決まられる,決まらせる,決まれる,決まれ
切る,きる,"to cut, to switch off",godan,t,切らない,切ります,切れば,切ろう,切って,切った,切らなかった,切られる,切らせる,切れる,切れ
競う,きそう,to compete,godan,"i,t",競わない,競います,競えば,競おう,競って,競った,競わなかった,競われる,競わせる,競える,競え
刻む,きざむ,to chop,godan,t,刻まない,刻みます,刻めば,刻もう,刻んで,刻んだ,刻まなかった,刻まれる,刻ませる,刻める,刻め
困る,こまる,to be in trouble,godan,i,困らない,困ります,困れば,困ろう,困って,困った,困らなかった,困られる,困らせる,困れる,困れ
込む,こむ,to be crowded,godan,i,込まない,込みます,込めば,込もう,込んで,込んだ,込まなかった,込まれる,込ませる,込める,込め
転ぶ,ころぶ,to roll,godan,i,転ばない,転びます,転べば,転ぼう,転んで,転んだ,転ばなかった,転ばれる,転ばせる,転べる,転べ
転がる,ころがる,to roll,godan,i,転がらない,転がります,転がれば,転がろう,転がって,転がった,転がらなかった,転がられる,転がらせる,転がれる,転がれ
転がす,ころがす,to roll,godan,t,転がさない,転がします,転がせば,転がそう,転がして,転がした,転がさなかった,転がされる,転がさせる,転がせる,転がせ
殺す,ころす,"to kill, to murder",godan,t,殺さない,殺します,殺せば,殺そう,殺して,殺した,殺さなかった,殺される,殺させる,殺せる,殺せ
凍る,こおる,to freeze,godan,i,凍らない,凍ります,凍れば,凍ろう,凍って,凍った,凍らなかった,凍られる,凍らせる,凍れる,凍れ
超す,こす,"to cross, to pass",godan,i,超さない,超します,超せば,超そう,超して,超した,超さなかった,超される,超させる,超せる,超せ
擦る,こする,"to rub, to scrub",godan,t,擦らない,擦ります,擦れば,擦ろう,擦って,擦った,擦らなかった,擦られる,擦らせる,擦れる,擦れ
断る,ことわる,"to refuse, to decline",godan,t,断らない,断ります,断れば,断ろう,断って,断った,断らなかった,断られる,断らせる,断れる,断れ
壊す,こわす,"to break, to decline",godan,t,壊さない,壊します,壊せば,壊そう,壊して,壊した,壊さなかった,壊される,壊させる,壊せる,壊せ
配る,くばる,"to distribute, to hand out",godan,i,配らない,配ります,配れば,配ろう,配って,配った,配らなかった,配られる,配らせる,配れる,配れ
砕く,くだく,"to smash, to crush",godan,t,砕かない,砕きます,砕けば,砕こう,砕いて,砕いた,砕かなかった,砕かれる,砕かせる,砕ける,砕け
下る,くだる,"to descend, to go down",godan,i,下らない,下ります,下れば,下ろう,下って,下った,下らなかった,下られる,下らせる,下れる,下れ
くださる,くださる,to give,godan,t,くださらない,くださります,くだされば,くださろう,くださって,くださった,くださらなかった,くださられる,くださらせる,くだされる,くだされ
くくる,くくる,"to tie, to bind",godan,t,くくらない,くくります,くくれば,くくろう,くくって,くくった,くくらなかった,くくられる,くくらせる,くくれる,くくれ
曇る,くもる,to become cloudy,godan,i,曇らない,曇ります,曇れば,曇ろう,曇って,曇った,曇らなかった,曇られる,曇らせる,曇れる,曇れ
組む,くむ,"to put together, to pair, to team up",godan,i,組まない,組みます,組めば,組もう,組んで,組んだ,組まなかった,組まれる,組ませる,組める,組め
繰り返す,くりかえす,to repeat,godan,t,繰り返さない,繰り返します,繰り返せば,繰り返そう,繰り返して,繰り返した,繰り返さなかった,繰り返される,繰り返させる,繰り返せる,繰り返せ
苦しむ,くるしむ,"to suffer, to feel pain",godan,i,苦しまない,苦しみます,苦しめば,苦しもう,苦しんで,苦しんだ,苦しまなかった,苦しまれる,苦しませる,苦しめる,苦しめ
狂う,くるう,"to go mad, to go wrong",godan,i,狂わない,狂います,狂えば,狂おう,狂って,狂った,狂わなかった,狂われる,狂わせる,狂える,狂え
腐る,くさる,to rot,godan,i,腐らない,腐ります,腐れば,腐ろう,腐って,腐った,腐らなかった,腐られる,腐らせる,腐れる,腐れ
くすぐる,くすぐる,to tickle,godan,t,くすぐらない,くすぐります,くすぐれば,くすぐろう,くすぐって,くすぐった,くすぐらなかった,くすぐられる,くすぐらせる,くすぐれる,くすぐれ
悔やむ,くやむ,to regret,godan,t,悔やまない,悔やみます,悔やめば,悔やもう,悔やんで,悔やんだ,悔やまなかった,悔やまれる,悔やませる,悔やめる,悔やめ
間違う,まちがう,to make a mistake,godan,"i,t",間違わない,間違います,間違えば,間違おう,間違って,間違った,間違わなかった,間違われる,間違わせる,間違える,間違え
曲がる,まがる,"to turn, to bend, to curve",godan,i,曲がらない,曲がります,曲がれば,曲がろう,曲がって,曲がった,曲がらなかった,曲がられる,曲がらせる,曲がれる,曲がれ
参る,まいる,"to go, to come",godan,i,参らない,参ります,参れば,参ろう,参って,参った,参らなかった,参られる,参らせる,参れる,参れ
負かす,まかす,"to beat, to defeat",godan,t,負かさない,負かします,負かせば,負かそう,負かして,負かした,負かさなかった,負かされる,負かさせる,負かせる,負かせ
巻く,まく,to roll up,godan,t,巻かない,巻きます,巻けば,巻こう,巻いて,巻いた,巻かなかった,巻かれる,巻かせる,巻ける,巻け
まく,まく,to sprinkle,godan,i,まかない,まきます,まけば,まこう,まいて,まいた,まかなかった,まかれる,まかせる,まける,まけ
守る,まもる,"to defend, to protect",godan,t,守らない,守ります,守れば,守ろう,守って,守った,守らなかった,守られる,守らせる,守れる,守れ
間に合う,まにあう,"to be in time, to be enough, to suffice",godan,i,間に合わない,間に合います,間に合えば,間に合おう,間に合って,間に合った,間に合わなかった,間に合われる,間に合わせる,間に合える,間に合え
待つ,まつ,to wait,godan,t,待たない,待ちます,待てば,待とう,待って,待った,待たなかった,待たれる,待たせる,待てる,待て
回る,まわる,"to turn, to spin",godan,i,回らない,回ります,回れば,回ろう,回って,回った,回らなかった,回られる,回らせる,回れる,回れ
回す,まわす,"to turn, to spin, to pass around",godan,t,回さない,回します,回せば,回そう,回して,回した,回さなかった,回される,回させる,回せる,回せ
迷う,まよう,to get lost,godan,i,迷わない,迷います,迷えば,迷おう,迷って,迷った,迷わなかった,迷われる,迷わせる,迷える,迷え
